GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player,PlayerType-1,ActionClass,PlayerType-0,ActionDescription,PiecesLeft-1,ActionSize,PiecesLeft-0
-1002439119,Checkers,0,ACTION_TAKEN,7,7,2,699,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [3,2] to [5,4]",10,1,12
-1002439119,Checkers,0,ACTION_TAKEN,8,8,2,699,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [6,5] to [4,3]",10,9,11
-1002439119,Checkers,0,ACTION_TAKEN,9,9,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [1,2] to [0,3]",10,9,11
-1002439119,Checkers,0,ACTION_TAKEN,10,10,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [4,7] to [5,6]",10,11,11
-1002439119,Checkers,0,ACTION_TAKEN,11,11,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,3] to [5,4]",10,9,11
-1002439119,Checkers,0,ACTION_TAKEN,12,12,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [3,6] to [4,5]",10,1,11
-1002439119,Checkers,0,ACTION_TAKEN,13,13,2,699,0,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [5,4] to [3,6]",9,1,11
-1002439119,Checkers,0,ACTION_TAKEN,14,14,2,699,1,MCTS_CheckersHeuristic,Capture,OSLA,"Capture from [2,7] to [4,5]",9,10,10
-1002439119,Checkers,0,ACTION_TAKEN,15,15,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [7,2] to [6,3]",9,9,10
-1002439119,Checkers,0,ACTION_TAKEN,16,16,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [7,6] to [6,5]",9,12,10
-1002439119,Checkers,0,ACTION_TAKEN,17,17,2,699,0,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,1] to [7,2]",9,10,10
-1002439119,Checkers,0,ACTION_TAKEN,18,18,2,699,1,MCTS_CheckersHeuristic,Move,OSLA,"Move from [6,5] to [7,4]",9,11,10
